作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
莧菜(元/公斤),2008年,11.06,37.78,17.45,12.55,11.28,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2008年,6.33,20.06,15.83,7.63,8,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2008年,12.67,42.75,17,10.50,-,-,-,-,60,54.17,51.89,37.05,
茼萵(元/公斤),2008年,9.30,24.15,13.95,19.03,19.37,27.43,28.67,41.11,36.11,57.04,55.81,24.25,
花椰菜(白)(元/公斤),2008年,10.06,25.42,15.81,17.28,21.35,-,-,-,-,-,-,-,
青花苔(元/公斤),2008年,483.22,487.67,487.67,487.67,487.67,487.67,487.67,493.33,468.33,444.44,447.78,471.11,
金針菜  (乾)(元/公斤),2008年,9.38,29.77,20.55,10.76,8.97,15.29,14.21,22.30,15.20,37.25,26,15.23,
胡瓜(黑刺)(元/公斤),2008年,19.72,54.12,26.05,18.28,17.37,28.27,28.65,30.05,20.95,51,43.73,26.55,
花胡瓜(元/公斤),2008年,8.83,7.33,8.33,6.72,4.17,-,-,-,-,-,-,-,
冬瓜(元/公斤),2008年,24.76,29.43,49.95,27.28,21.71,27.38,23.33,34.38,31.22,71.75,43.30,43.13,
苦瓜(元/公斤),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(菱角)(元/公斤),2008年,13.24,18.78,15.63,16.13,13.07,20.80,15.89,25.57,22.49,35.59,26.98,21.77,
絲瓜(元/公斤),2008年,4.82,11.28,10.73,8.67,6.50,-,-,-,-,-,-,-,
扁蒲(元/公斤),2008年,23.45,19.50,15.33,14.60,13.05,18.67,16.95,29.61,22.72,53.22,36.68,29.17,
茄子(元/公斤),2008年,21.78,17,13.08,13.53,14.83,21.88,26.43,28.25,41.53,48.28,62.07,38.33,
番茄(黑柿)(元/公斤),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
小蕃茄(聖女)(元/公斤),2008年,14.92,17.05,14.94,17.59,13.87,27.94,25.08,26.56,24.97,54.80,67.37,53.98,
甜椒(青椒)(元/公斤),2008年,-,-,14,13.47,13.75,10.49,15.22,-,-,-,10,-,
西瓜(大粒)(元/公斤),2008年,-,-,22.33,17.04,8.74,10.09,16.68,17.67,13.83,18.83,12.33,7.50,
西瓜(小粒)(元/公斤),2008年,-,-,-,-,16.06,-,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2008年,31.56,27.83,27.50,47.08,22.58,22.71,28.88,36,27.67,26.50,21.75,19,
洋香瓜(元/ 公斤),2008年,-,-,39.33,50.22,33.70,25.84,26.73,32.78,33.06,45.11,31,-,
香瓜(美濃瓜)(元/公斤),2008年,22.57,73.89,43.67,33.78,31.58,39.67,47.56,64.17,63.27,81.57,79.67,55.83,
敏豆(四季豆)(元/公斤),2008年,21.33,30.89,27.78,26.67,22.11,29.67,23.33,32.97,27.92,49.25,46.83,40.67,
豇豆(元/公斤),2008年,21.05,66,41.44,54.67,46,-,-,-,-,-,106.67,75.75,
豌豆(元/公斤),2008年,18.67,45.83,39.17,30,-,-,-,-,-,-,-,-,
甜豌豆(元/公斤),2008年,17.80,14.20,14.70,14.70,13.69,-,-,-,-,-,-,-,
毛豆(帶莢)(元/公斤),2008年,59.64,39.25,31,28.66,28.67,21.17,26.33,45,52.67,65.83,81.22,98,
辣椒(元/公斤),2008年,10.65,13.24,13.35,12.81,11.50,11.70,13.22,18.90,16.33,21.38,29.51,31.11,
甜玉米(鮮食)(元/公斤),2008年,72.18,85,-,-,-,-,-,60,60,-,75,85,
蓮藕(元/公斤),2008年,116.42,111.67,87.50,70,-,-,-,-,-,-,-,66.67,
草莓(元/公斤),2008年,70.55,75,76.67,105,82.50,83.33,86,90,88.67,100,93.33,68.66,
洋菇(元/公斤),2008年,819.17,819.17,804.17,811.67,820,822.92,813.89,800.83,790,786.67,768.33,769.17,
香菇(太空包)乾(元/公斤),2008年,60.56,60,57.22,63.78,63.78,61.67,57.78,56.67,57.11,56.22,56.11,56.11,
香菇(太空包)鮮(元/公斤),2008年,26.17,25,24.50,25,25,25,25,24.33,25.33,23.67,29.83,32.67,
木耳(黑色溼)(元/公斤),2008年,67,74.33,68.33,62.67,55,-,-,-,-,-,-,-,
鮑魚菇(元/公斤),2008年,-,-,-,-,-,70,70,70,87.78,82,79.83,77.50,
杏鮑菇(元/公斤),2008年,13.83,14.25,13.75,12.17,-,-,-,-,31.33,21.17,18.83,18.31,
葡萄柚(元/公斤),2008年,-,-,73.22,50.33,50.56,52.61,27.33,-,-,-,-,-,
芒果(在來)(元/公斤),2008年,-,-,-,85,65.67,63.73,45.35,49.05,-,-,-,-,
芒果(愛文)(元/公斤),2008年,-,-,-,-,56,44.60,29.75,28.93,30.67,-,-,-,
芒果(金煌)(元/公斤),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(泰國)(元/公斤),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2008年,48.10,32.51,23.32,22.73,10.23,20.21,19.41,18.77,22.93,32.45,36.58,36.18,
番石榴(珍珠)(元/公斤),2008年,70.30,62.94,58.90,48.30,35.65,45.36,-,-,-,-,69.41,57.71,
蓮霧(元/公斤),2008年,-,100,116.67,119.08,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2008年,-,-,-,-,-,52.96,19.57,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2008年,-,-,-,-,215.56,141.44,-,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2008年,-,-,-,-,-,-,-,46.79,28.56,60,-,-,
龍眼(大粒)(元/公斤),2008年,66.60,60.30,97.92,-,-,-,-,-,-,-,58.94,53.23,
棗子(元/公斤),2008年,49.67,50.67,52,-,-,-,67.50,53.78,50.25,51,52.33,47.56,
番荔枝(元/公斤),2008年,33.67,33.28,28.50,34.67,-,33.33,30,26.50,24.33,29.25,34.03,33.91,
楊桃(馬來種)(元/公斤),2008年,-,-,-,-,-,74.33,41.80,29.69,37.75,42.67,38.67,46.67,
酪梨(元/公斤),2008年,4.28,4.39,4.26,4.48,4.17,4.22,4.39,4.28,4.58,4.83,4.92,4.17,
椰子(元/公斤),2008年,0.82,1.26,1.49,1.67,2.86,3,1.42,0.86,0.79,0.67,0.46,0.43,
檳榔(元/ 粒),2008年,50.78,33.19,34.14,41.15,39.45,31.58,25.32,29.18,29.25,29.40,34.49,33.97,
木瓜(元/公斤),2008年,-,-,-,-,-,51.33,38.83,28.50,33.50,32.17,28.83,27.33,
百香果(元/公斤),2008年,34.04,34.50,42,46.39,30.52,29.38,17.20,20.52,16.96,22.71,21.54,24.86,
香蕉(內銷)(元/公斤),2008年,-,-,17,-,9.56,10.78,11.78,14.50,14.07,11.33,11.56,-,
鳳梨(開英)(元/公斤),2008年,23.17,-,12.83,15.01,12.85,13.45,14.97,17.43,16.53,19.17,20.83,16.50,
鳳梨(17號)(元/公斤),2008年,-,-,-,-,35,32.67,23.05,18.50,23,22.33,18.25,-,
紅龍果(元/公斤),2008年,23.11,20.67,-,-,-,-,-,-,-,41.77,24.20,19.97,
椪柑(元/公斤),2008年,45.58,41.65,38,43.33,-,-,-,-,-,-,-,-,
桶柑(元/公斤),2008年,-,-,-,-,-,-,-,27.75,31.57,30,-,-,
文旦(元/公斤),2008年,11.31,10.37,10.42,11.12,-,-,-,-,-,11.23,11.12,9.47,
柳橙(元/公斤),2008年,28.40,21.73,19.87,26.59,22.95,17.49,10.54,8.02,7.02,11.83,18.43,20.36,
檸檬(元/公斤),2008年,23.22,20.66,-,-,-,-,-,-,-,-,-,14.17,
海梨柑(元/公斤),2008年,51.50,58.22,43.83,40.50,-,-,-,-,-,-,-,36.33,
茂谷柑(元/公斤),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
金柑(元/公斤),2008年,-,-,-,50,50,-,-,-,-,-,-,-,
李(玉李)(元/公斤),2008年,-,-,-,-,75,66.67,-,-,-,-,-,-,
李(紅肉)(元/公斤),2008年,-,-,-,-,37.50,44.17,20,-,-,-,-,-,
鶯歌桃(元/公斤),2008年,-,-,-,75,71.17,-,-,-,-,-,-,-,
甜桃(元/公斤),2008年,-,-,-,-,-,-,59.17,62.50,-,-,-,-,
水蜜桃(元/公斤),2008年,-,-,-,-,-,-,-,-,-,21,21.83,-,
牛心柿(元/公斤),2008年,-,-,-,-,-,-,-,-,-,72,82,84.67,
甜柿(元/公斤),2008年,-,-,-,-,-,-,-,20,23.33,24.17,-,-,
紅柿(軟柿)(元/公斤),2008年,-,-,40.25,39.12,38.33,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2008年,-,-,-,13.85,-,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2008年,-,-,-,-,-,50,23,18.17,20,-,-,-,
橫山梨(元/公斤),2008年,-,-,-,-,-,-,-,70,59.17,49.33,-,-,
新世紀梨(元/公斤),2008年,-,-,-,-,-,52.32,47.22,40,-,-,-,-,
豐水梨(元/公斤),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
幸水梨(元/公斤),2008年,-,-,-,-,-,-,43.98,40.34,42.11,40.67,-,-,
新興梨(元/公斤),2008年,61.56,76.33,130,86,107.50,113.50,57,52.08,71.83,88.33,71.80,55.87,
巨峰葡萄(元/公斤),2008年,49.80,47.17,50.97,50.77,46.40,44.25,41.10,41.02,39.19,37.71,40.48,47.99,
落花生(帶殼)(元/公斤),2008年,61.51,68.83,73.67,-,-,-,-,-,-,-,-,54.42,
紅豆(中等)(元/公斤),2008年,75,74.33,74,74,74,76.67,77.50,75,75,74.50,74.67,-,
綠豆(省產)(元/公斤),2008年,21.62,23,21.68,18.85,16.40,16.53,14.12,15.22,12.48,13.36,14.47,14.27,
甘藷(元/公斤),2008年,-,-,195,232.06,240.45,146.67,83.33,78.33,145.11,171.72,235.67,232.22,
烏龍茶菁(手)(元/公斤),2008年,-,-,-,121.67,114.07,58.33,65,50,50,55.56,75.56,-,
烏龍茶菁(機)(元/公斤),2008年,-,-,134.17,143.46,127.22,91.11,58.33,53.33,95.14,104.33,139.62,141.67,
金萱茶菁(手)(元/公斤),2008年,-,-,21.67,56.28,50.34,33.89,31.07,31.33,31.44,34.64,47.92,-,
金萱茶菁(機)(元/公斤),2008年,-,-,-,-,-,335.67,333.56,379.33,363,350.67,-,-,
蓮子(脫殼)(元/公斤),2008年,8.27,8.13,7.83,7.83,9.33,9,8.33,8.67,8.92,8.98,8.47,9.27,
紅甘蔗(元/公斤),2008年,191.33,193,216.33,220,200.78,192.47,193.56,197,194.17,198.50,195.17,213.65,
芝麻(黑省產)(元/公斤),2008年,8.75,9.36,8.60,7.85,7.09,6.28,6.76,7.77,6.50,5.26,6,8.52,
文心蘭(元/支),2008年,3.36,4.79,3.25,4.16,3.41,3.09,3.46,5.91,5.15,6.43,5.89,4.68,
菊花(大菊)(元/支),2008年,5.83,7.32,3.22,2.83,2.46,3.01,3.50,3.83,4.43,4.80,4.68,6.79,
玫瑰(黛安娜)(元/支),2008年,13.43,14.07,11.93,10.48,9.64,8.81,9.72,10.25,10.51,12.02,11.55,13.88,
火鶴(紅)(元/支),2008年,2.37,3.55,1.77,2.40,1.98,2.32,2.93,3.98,4.70,6.55,4.55,7.89,
非洲菊(元/支),2008年,42.50,44.17,30.17,42,42,45,54,93,97.50,93.67,95,104.33,
滿天星(元/ 把),2008年,40.33,96.33,45,40,37.67,45,39.67,72,53.50,80,88.33,94.33,
卡斯比亞(元/把),2008年,3.45,4.09,2.69,3.03,2.16,1.73,2.57,3.75,2.85,3.94,7.44,4.82,
香石竹(康乃馨)大輪(元/支),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)中康(元/支),2008年,10.87,11.87,7.58,6.22,5.10,5.25,5.17,6.72,6.72,8.95,7.25,7,
天堂鳥(元/支),2008年,3.50,4.67,4.17,4.50,4.83,3.67,2.83,3.50,4.33,5.83,5,5.33,
夜來香(元/支),2008年,3.68,5.91,3.51,4.16,3.84,4.14,3.98,6.06,5.97,7.94,5.40,6.14,
唐菖蒲(劍蘭)(元/支),2008年,-,-,-,-,-,17.33,20.67,22.67,23.50,25.67,27.33,29.33,
葵百合(紅)(元/支),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
姬百合(橙)(元/支),2008年,27.92,29.33,23.09,21.71,19.13,21.42,27.22,26.56,29.72,28.89,28.60,32,
香水百合(白)(元/支),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
香水百合(黃)(元/支),2008年,-,-,-,-,-,-,-,-,-,-,-,-,
聖誕紅(元/盆),2007年,7.37,4.06,4.42,6,5.50,8.66,10,11.45,12.72,21.33,20.83,5,
蘿蔔(元/公斤),2007年,9.92,8.31,7.77,8.71,10.67,12.33,12,13,16.83,19.67,22,22.17,
胡蘿蔔(元/公斤),2007年,-,-,12,12,-,-,-,-,-,-,-,-,
牛蒡(元/公斤),2007年,-,-,-,-,49.45,41.66,33.01,34.17,35.84,35.84,30,28.33,
生薑(嫩薑)(元/公斤),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
生薑(老薑粉薑)(元/公斤),2007年,29.44,29.22,27,20.33,17.33,16.33,13.33,20.83,22.21,24.53,23.33,27.02,
芋頭(元/公斤),2007年,-,-,-,102.78,84.44,64.27,55.47,56.80,57.67,76.22,64,-,
綠竹筍(元/公斤),2007年,-,-,-,25,15.17,12.33,10.83,17.67,18,32,-,-,
烏殼;綠竹筍(元/公斤),2007年,60.67,69,56.67,45.33,42.78,24.95,19.80,22.60,21.53,31.42,49.50,65,
麻竹筍(元/公斤),2007年,-,-,40,13.67,10,-,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
轎篙筍(元/公斤),2007年,-,-,-,56.67,61.67,72.50,75,85,84.17,95.83,76.67,-,
白蘆筍(元/公斤),2007年,63.33,78.33,63.75,61,62.78,77.11,77.22,83.33,81.40,97.58,78.67,-,
綠蘆筍(元/公斤),2007年,-,-,60.33,44.33,36.67,39.33,46,53.33,31.33,69.33,60,-,
茭白筍(帶殼)(元/公斤),2007年,10.11,8.50,7.92,10.33,-,-,-,-,19.33,36.67,19.83,8,
大芥菜(鮮食)(元/公斤),2007年,15.80,12.79,13.36,16.50,17.28,19.33,20.67,22.17,22.67,22.90,22.22,22.05,
馬鈴薯(食用)(元/公斤),2007年,21.54,20.60,18.06,17.47,17.35,22.47,29.18,51.11,94.23,112.54,62.87,44.45,
青蔥(元/公斤),2007年,13,13.27,11.79,10.99,14.43,14.03,13.18,11.63,-,-,-,9,
洋蔥(內銷)(元/公斤),2007年,36.69,30.36,33.68,54.27,43.01,-,-,-,-,-,-,58.17,
青蒜(元/公斤),2007年,-,53.30,47.15,58.01,63.51,62.39,63.30,63.84,65.31,67.21,66.92,69.92,
蒜頭(蒜球)(元/公斤),2007年,21.22,22.89,16.83,17.17,12.17,16.67,21.17,22.67,34.56,59.11,38.22,28.67,
韭菜(元/公斤),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
韭黃(元/公斤),2007年,27.33,20.67,20.92,20.08,10.29,20.83,12.50,35.67,23.33,45.08,25.25,21.17,
蕹菜(空心菜)(元/公斤),2007年,26.87,19.60,14.93,19.73,13.55,25.83,16.67,31.67,57.50,66.22,42.73,24.29,
芹菜(土芹菜)(元/公斤),2007年,12.87,7.65,3.72,6.96,5.35,8.97,11,15.38,21.22,35.45,28.82,13.92,
甘藍(元/公斤),2007年,34.33,25.17,23.83,34.50,24.17,25.75,63,41.33,55.67,68.50,56.67,34.83,
甘藍芽(元/公斤),2007年,13.67,10.27,12.13,15.73,9.27,28.13,13.53,40.67,26.47,45.67,17.60,12.67,
小白菜(元/公斤),2007年,11.67,9.07,9.20,13.58,8,24.33,12.42,32,24.42,43.92,14.07,10.25,
青江白菜(元/公斤),2007年,11.88,5,5.28,7.18,4.21,14.77,10.44,16.67,21.95,30.24,20.62,7.67,
結球白菜(元/ 公斤),2007年,14.33,10,10.63,21.89,-,27.50,37.50,54,58.33,61.33,38.40,17,
菠菜(元/公斤),2007年,12.67,10.67,11,15.33,7,30,11.33,38.67,23.67,46,21.67,11.67,
芥藍(元/公斤),2007年,37.50,-,24.33,30.67,16.67,32,16.33,37.67,32,47.83,35.83,26.67,
莧菜(元/公斤),2007年,17.45,11.33,13,19.22,10.56,27.55,18.33,37.11,33.11,54.11,19.22,13.67,
本島萵苣(元/公斤),2007年,13,7.04,6.84,10.44,6.28,19.33,15.83,25,26.17,46.17,24.33,11.56,
萵苣(油麥菜)(元/公斤),2007年,19.58,10.67,14.67,16,-,-,-,-,-,50.50,31.11,16.11,
茼萵(元/公斤),2007年,22.38,16.81,14.13,17.02,16.92,29.82,27.94,30.11,39.83,66.55,61.51,23.41,
花椰菜(白)(元/公斤),2007年,23.17,18.45,17.71,19.49,20.67,16.70,-,-,-,50,44.12,22.41,
青花苔(元/公斤),2007年,361,361,361,361,361,361,361,361,481.11,484.78,481,481,
金針菜  (乾)(元/公斤),2007年,15.97,14.93,10.03,12.25,8.81,13.70,10.78,24.67,26.58,37.43,19.21,7.43,
胡瓜(黑刺)(元/公斤),2007年,21.07,22.47,19.95,21.89,16.41,27.46,19.15,48.55,43.02,57.13,29.34,13.86,
花胡瓜(元/公斤),2007年,9.33,8.67,11.83,10,7.22,5.61,6.42,6.54,8.25,13.83,21.83,11.50,
冬瓜(元/公斤),2007年,34.29,43.45,35.91,27.28,20.50,26.07,16.86,28.79,44.66,79.30,66.31,35.85,
苦瓜(元/公斤),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(菱角)(元/公斤),2007年,20.09,13.04,14.63,14,8.91,16.77,11.06,27.39,21.19,47.52,25.45,16.05,
絲瓜(元/公斤),2007年,13.80,11.20,9.67,7.53,5.75,12.38,6.67,12.33,19.73,33.28,19.40,9.92,
扁蒲(元/公斤),2007年,15.20,17.17,15.13,21.53,14.19,19.67,13.61,27.61,42.22,55.38,62.22,19.17,
茄子(元/公斤),2007年,25.92,32.11,32.57,26.80,21.47,23.56,19.72,27.13,39.45,71.34,58.45,48.93,
番茄(黑柿)(元/公斤),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
小蕃茄(聖女)(元/公斤),2007年,25.07,23.45,18.33,20.38,14.30,24.14,29.75,27.08,51.61,70.81,71.29,31.91,
甜椒(青椒)(元/公斤),2007年,-,-,11.33,10.67,12.10,12.64,13.56,11,-,10,-,-,
西瓜(大粒)(元/公斤),2007年,-,-,14.64,12.43,11.22,10.47,11.07,7.57,9.83,15.33,10.67,8.83,
西瓜(小粒)(元/公斤),2007年,-,-,-,15,15.40,11.40,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2007年,25.78,26.83,26.17,29,34.83,20.78,17.78,26.89,26.50,30.50,30.17,27.67,
洋香瓜(元/ 公斤),2007年,-,-,32.50,35.33,29.72,25.32,21.20,26.33,30.06,38.89,-,-,
香瓜(美濃瓜)(元/公斤),2007年,48,59.22,42,45.25,31.08,50.20,48.42,63.78,74.34,88.87,79.63,30.56,
敏豆(四季豆)(元/公斤),2007年,38.40,27.89,32.78,22.96,14.22,24.08,16.89,36.83,50.33,71.75,52.58,27.22,
豇豆(元/公斤),2007年,64.75,54.67,34.78,41.67,39,-,-,-,-,-,103.33,51.38,
豌豆(元/公斤),2007年,50,45.50,29.50,41.67,46.67,-,-,-,-,-,80,46,
甜豌豆(元/公斤),2007年,15.36,14.20,14.70,14.70,13.81,13.90,14.70,14.70,14.20,14.37,16.14,17.43,
毛豆(帶莢)(元/公斤),2007年,43.17,41.25,36.75,41.22,31.22,42.67,33.78,37.33,37.67,60,82,83.33,
辣椒(元/公斤),2007年,13.89,9.98,8.76,8.98,9,7.77,10.76,13.09,18.21,25.31,26.35,28.77,
甜玉米(鮮食)(元/公斤),2007年,78.98,83.67,-,-,-,-,-,50,48,48,66.70,77.35,
蓮藕(元/公斤),2007年,118.75,107.08,74.58,69.59,-,-,-,-,-,-,-,122.50,
草莓(元/公斤),2007年,69.44,72.78,75.56,106,118.33,120,-,-,106.67,111.67,105,78.89,
洋菇(元/公斤),2007年,610,663.61,620,591.67,578.33,681.67,726.67,758.33,776.67,780,780,784.17,
香菇(太空包)乾(元/公斤),2007年,54.33,56.39,51.89,48.22,48.78,55,55.78,58.33,59.78,58.56,56.67,58.33,
香菇(太空包)鮮(元/公斤),2007年,27.32,28.42,27.42,30.33,30.37,27.57,23,19,20.03,23.67,25,31.67,
木耳(黑色溼)(元/公斤),2007年,50.30,49.37,43.27,41.87,40.17,42.57,40.17,42.83,42.67,52.67,72.67,73.33,
鮑魚菇(元/公斤),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
杏鮑菇(元/公斤),2007年,13.75,13.93,14.65,14.45,-,-,-,-,22.25,18.17,16.09,14.92,
葡萄柚(元/公斤),2007年,-,-,32,37.42,53.90,27.64,25.40,-,-,-,-,-,
芒果(在來)(元/公斤),2007年,-,-,-,73.67,65.64,35.40,30.37,53.80,-,-,-,-,
芒果(愛文)(元/公斤),2007年,-,-,-,56.50,47.78,23.34,18.25,28.65,35,-,-,-,
芒果(金煌)(元/公斤),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(泰國)(元/公斤),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2007年,20.48,15.43,15.85,12.02,15.75,10.99,9.62,13.82,20,26.21,43.13,46.70,
番石榴(珍珠)(元/公斤),2007年,54.42,49.42,48.74,46.05,43.28,45.67,-,-,-,-,85.83,71.17,
蓮霧(元/公斤),2007年,-,-,100.03,122.78,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2007年,-,-,-,-,45,22.81,21.18,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2007年,-,-,-,-,198,51.71,-,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2007年,-,-,-,-,-,-,33.90,31.29,34.50,-,-,-,
龍眼(大粒)(元/公斤),2007年,39.33,42.93,47.94,-,-,-,-,-,-,-,67.75,67.30,
棗子(元/公斤),2007年,48.89,54.33,45,-,-,-,42,51.33,52.11,45.58,42.33,46.89,
番荔枝(元/公斤),2007年,19.27,19.17,18.33,26,-,24,21,23,31.67,32.72,31.20,32.50,
楊桃(馬來種)(元/公斤),2007年,-,-,-,-,-,68,40.34,28,36.83,50.33,55,46.67,
酪梨(元/公斤),2007年,5,4.56,4.50,4.36,4.83,4.72,4.81,5.17,5.50,5.75,5.08,4.58,
椰子(元/公斤),2007年,0.84,1.23,1.50,2.37,2.38,1.19,0.61,0.71,0.71,0.64,0.54,0.56,
檳榔(元/ 粒),2007年,26.60,18.80,17.03,17.74,21.83,14.75,13.03,13.54,28.74,33.79,39.84,56.53,
木瓜(元/公斤),2007年,-,-,-,-,-,33,32.33,30.67,30.50,28.17,35.33,39,
百香果(元/公斤),2007年,15.85,17.32,14.68,8.62,7.80,6.85,6.97,8.48,11.31,12.96,19.63,27.96,
香蕉(內銷)(元/公斤),2007年,10.67,10,12,12.67,11.45,11.31,11.63,12.11,11.56,9.39,9.83,12,
鳳梨(開英)(元/公斤),2007年,11.33,9,11.77,15.08,16.02,12.63,11.69,15.04,19.42,16.83,16.83,16.83,
鳳梨(17號)(元/公斤),2007年,-,-,-,-,-,25,22.61,27.44,25.44,31,31.17,-,
紅龍果(元/公斤),2007年,26.94,28.75,33.30,-,-,-,-,-,-,33.04,24.55,22.52,
椪柑(元/公斤),2007年,37.67,42.04,41.42,47,-,-,-,-,-,-,-,-,
桶柑(元/公斤),2007年,-,-,-,-,-,-,-,48,39.68,13.25,-,-,
文旦(元/公斤),2007年,10.45,11.96,12.87,12.65,-,-,-,-,18.83,10.54,11.89,11.82,
柳橙(元/公斤),2007年,22.02,17.78,21.17,24.05,25.89,24.95,13.39,8.24,8.26,11.11,17.17,28.06,
檸檬(元/公斤),2007年,21.61,24.56,-,-,-,-,-,-,-,-,-,18.50,
海梨柑(元/公斤),2007年,47.72,61.50,57.89,42.17,-,-,-,-,-,-,-,37.50,
茂谷柑(元/公斤),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
金柑(元/公斤),2007年,-,-,-,-,28.33,26.67,-,-,-,-,-,-,
李(玉李)(元/公斤),2007年,-,-,-,-,40,41.67,-,-,-,-,-,-,
李(紅肉)(元/公斤),2007年,-,-,-,-,-,50,-,-,-,-,-,-,
鶯歌桃(元/公斤),2007年,-,-,-,67.50,59,-,-,-,-,-,-,-,
甜桃(元/公斤),2007年,-,-,-,-,-,-,65,75,-,-,-,-,
水蜜桃(元/公斤),2007年,-,-,-,-,-,-,-,-,-,25.50,22,-,
牛心柿(元/公斤),2007年,-,-,-,-,-,-,-,-,-,77.78,84.44,93.33,
甜柿(元/公斤),2007年,-,-,-,-,-,-,-,19.85,22.24,27.37,35.50,-,
紅柿(軟柿)(元/公斤),2007年,-,-,42.60,37.90,36,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2007年,-,-,-,12.38,14.50,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2007年,-,-,-,-,-,-,20.77,18.25,-,-,-,-,
橫山梨(元/公斤),2007年,-,-,-,-,-,-,-,72.50,61.67,54.17,-,-,
新世紀梨(元/公斤),2007年,-,-,-,-,-,51.89,44.11,-,-,-,-,-,
豐水梨(元/公斤),2007年,-,-,-,-,-,-,-,-,-,-,-,-,
幸水梨(元/公斤),2007年,-,-,-,-,-,-,38.38,41.84,47.17,44.33,-,-,
新興梨(元/公斤),2007年,55.10,73.80,120,96.67,88,71.72,44.67,43.36,59.33,69,71.23,70,
巨峰葡萄(元/公斤),2007年,38.30,39.77,40.59,38.84,-,33.69,34.10,32.41,32.62,35.97,54.60,54.81,
落花生(帶殼)(元/公斤),2007年,65.10,70.78,80,-,-,-,-,-,-,-,-,66.60,
紅豆(中等)(元/公斤),2007年,73.67,73,73,73,74.33,77.50,75,73.67,73.83,75,75,-,
綠豆(省產)(元/公斤),2007年,7.50,6.26,6,6.66,5.13,9.08,9.66,15.62,18.44,20.04,23.68,21.35,
甘藷(元/公斤),2007年,-,-,155.83,249.91,230.23,140,58.33,63.33,144.50,179.26,264.98,254.44,
烏龍茶菁(手)(元/公斤),2007年,-,-,-,105.56,66.66,77.78,76.67,43.33,43.89,52.50,86.11,-,
烏龍茶菁(機)(元/公斤),2007年,-,-,102.50,133.04,122.84,85,29.33,32.67,99.72,114.17,169.29,162.50,
金萱茶菁(手)(元/公斤),2007年,-,-,21.66,50.78,40.66,33.55,28.89,26.89,27.26,32.33,54.85,-,
金萱茶菁(機)(元/公斤),2007年,-,-,-,-,-,325.50,311,316.56,314.33,222,-,-,
蓮子(脫殼)(元/公斤),2007年,9.72,10.21,9.61,8.72,8,7.50,7.39,7.50,8.90,9.43,10.22,9.17,
紅甘蔗(元/公斤),2007年,147.76,150.44,164.33,173,173.78,170,176.50,172.67,174.42,180.17,185,180.77,
芝麻(黑省產)(元/公斤),2007年,8.63,9.95,9.17,9.12,8.59,7.85,7.15,7.65,6.95,6.48,7.27,7.69,
文心蘭(元/支),2007年,3.03,3.61,3.55,4.71,2.84,4.61,4.71,3.43,3.90,6,5.84,5.32,
菊花(大菊)(元/支),2007年,3.27,6.47,3.91,3.05,2.26,3.04,3.03,4.03,3.45,5.37,3.45,4.23,
玫瑰(黛安娜)(元/支),2007年,12.72,15.22,13.39,11.39,9.75,9.61,10.68,12.88,11.69,12.24,12.15,13.59,
火鶴(紅)(元/支),2007年,2.59,2.53,1.77,3,2.08,4.08,3.53,3.04,4.83,5,4.11,3.37,
非洲菊(元/支),2007年,45.83,52.50,39.17,44.83,45.50,47.83,58.67,48.33,70,90,86.67,66.67,
