作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
荔枝(玉荷)(元/公斤),2017年,-,-,-,-,254.49,102.57,-,-,-,-,-,-,
龍眼(大粒)(元/公斤),2017年,-,-,-,-,-,-,102.5,52.77,44.49,-,-,-,
棗子(元/公斤),2017年,73.85,76.78,68.3,-,-,-,-,-,-,-,-,-,
番荔枝(大目)(元/公斤),2017年,93.83,118.05,151.67,-,-,-,125,62.61,70.93,80.97,-,-,
鳳梨釋迦(元/公斤),2017年,125.75,119.71,132.1,-,-,-,-,-,-,-,-,-,
楊桃(馬來種)(元/公斤),2017年,45,25.75,22.5,32.67,-,-,-,36.93,32.69,27,-,-,
楊桃(紅龍)(元/公斤),2017年,-,-,-,-,-,-,-,,,-,-,-,
酪梨(元/公斤),2017年,-,-,-,-,-,86.33,63.72,36.93,32.69,90.17,-,-,
椰子(元/公斤),2017年,6.42,6.4,6.61,6.53,7.89,8.89,9,36.93,32.69,9.58,-,-,
檳榔(元/ 粒),2017年,1.63,3.35,5.12,6.27,6.84,3.18,1.64,36.93,32.69,1.04,-,-,
彌猴桃(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
木瓜(元/公斤),2017年,68.28,38.16,41.13,50.97,42.89,26.08,30.61,27.56,27.89,21.57,-,-,
百香果(元/公斤),2017年,-,-,-,-,-,94.65,84.98,82.03,73.41,47.80,-,-,
香蕉(內銷)(元/公斤),2017年,83.08,86.46,61.54,61.19,36.19,17.42,9.25,10.05,8.41,7.34,-,-,
香蕉(外銷)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
鳳梨(開英)(元/公斤),2017年,-,-,-,-,-,19.34,18.4,20.69,20,-,-,-,
鳳梨(17號)(元/公斤),2017年,24.68,27.42,23.64,24.68,26.46,21.74,21.81,27.20,25.33,20.10,-,-,
鳯梨(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
鳳梨(牛奶)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
紅龍果(元/公斤),2017年,-,-,-,-,100,46.34,36.43,36.93,32.69,28.43,-,-,
椪柑(元/公斤),2017年,36.38,37,-,-,-,-,-,-,-,35.02,-,-,
桶柑(元/公斤),2017年,33.53,31.14,31.5,-,-,-,-,-,-,-,-,-,
文旦(元/公斤),2017年,-,-,-,-,-,-,-,31.50,53.80,-,-,-,
柳橙(元/公斤),2017年,27.47,33.64,34.79,-,-,-,-,-,-,24,-,-,
檸檬(元/公斤),2017年,70.17,71.95,43.83,63.71,54.79,21.78,18.53,19.02,19.84,27.31,-,-,
檸檬(無籽)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
海梨柑(元/公斤),2017年,21.5,21.67,-,-,-,-,-,-,-,-,-,-,
茂谷柑(元/公斤),2017年,51.67,43.8,43.83,40,-,-,-,-,-,-,-,-,
白柚(元/公斤),2017年,-,-,-,-,-,-,-,-,30,28.83,-,-,
金柑(元/公斤),2017年,44,55.5,74.53,-,-,-,-,-,-,-,-,-,
李(玉李)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
李(紅肉)(元/公斤),2017年,-,-,-,-,40,69,-,-,-,-,-,-,
鶯歌桃(元/公斤),2017年,-,-,-,-,-,40,-,-,-,-,-,-,
甜桃(元/公斤),2017年,-,-,-,60,66.61,-,-,-,-,-,-,-,
水蜜桃(元/公斤),2017年,-,-,-,-,-,-,73.33,86.97,-,-,-,-,
牛心柿(元/公斤),2017年,-,-,-,-,-,-,-,-,-,23.50,-,-,
甜柿(元/公斤),2017年,-,-,-,-,-,-,-,-,-,89.75,-,-,
紅柿(軟柿)(元/公斤),2017年,-,-,-,-,-,-,-,27.17,24,15.93,-,-,
青梅(手採)(元/公斤),2017年,-,-,-,58.33,50,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2017年,-,-,-,33.72,33.5,-,-,-,-,-,-,-,
橫山梨(元/公斤),2017年,-,-,-,-,-,-,40,40,-,-,-,-,
新世紀梨(元/公斤),2017年,-,-,-,-,-,-,-,-,53.33,57.50,-,-,
豐水梨(元/公斤),2017年,-,-,-,-,-,72.08,69.67,130,-,-,-,-,
幸水梨(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
新興梨(元/公斤),2017年,-,-,-,-,-,58,53.26,56.70,56.92,-,-,-,
五爪蘋果(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
金冠蘋果(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
富士蘋果(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
巨峰葡萄(元/公斤),2017年,72,81.67,88.33,75,81.67,75.28,64.12,64.98,61.73,74.55,-,-,
落花生(帶殼)(元/公斤),2017年,72.14,70.59,70,70,71.36,80.19,84.89,79.43,79,76.34,-,-,
花生仁(總仁)(元/公斤),2017年,111.32,-,-,-,162.25,148.25,-,-,-,-,-,-,
紅豆(中等)(元/公斤),2017年,86.1,83.04,-,-,-,-,-,-,-,-,-,-,
綠豆(省產)(元/公斤),2017年,80.25,80.33,80.17,80.17,83.58,93,89.33,95,99,99.67,-,-,
花豆(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
甘藷(元/公斤),2017年,14,10.86,12.15,16.46,15.55,12.75,16.59,22.42,22.58,20.78,-,-,
烏龍茶菁(手)(元/公斤),2017年,-,-,150,262.33,270.28,216.67,130,130,167.67,185.82,-,-,
烏龍茶菁(機)(元/公斤),2017年,-,-,-,85.33,74.67,65.17,50.5,24.40,30.67,55.77,-,-,
金萱茶菁(手)(元/公斤),2017年,-,-,115,155.65,161.47,125.83,72,72,98.89,125.17,-,-,
金萱茶菁(機)(元/公斤),2017年,-,-,-,49.67,49.45,48,40.44,25.20,28.33,43.23,-,-,
蓮子(脫殼)(元/公斤),2017年,-,-,-,-,583,583,571.5,568.67,552.17,550,-,-,
